game_id,season,week,away,home,espn_event_id,fpi_home_prob,fpi_raw_home,fpi_raw_away,matchup_quality,fetched_at
2015_01_BAL_DEN,2015,1,BAL,DEN,400791587,0.64995,64.8,34.9,58.312,2026-08-26T15:01:05Z
2015_01_CAR_JAX,2015,1,CAR,JAX,400791547,0.38353,38.2,61.4,60.615,2026-08-26T15:01:05Z
2015_01_CIN_OAK,2015,1,CIN,OAK,400791585,0.37613,37.5,62.2,68.05,2026-08-26T15:01:05Z
2015_01_CLE_NYJ,2015,1,CLE,NYJ,400791497,0.62086,61.9,37.8,47.123,2026-08-26T15:01:05Z
2015_01_DET_SD,2015,1,DET,SD,400791558,0.57272,57.099999999999994,42.6,34.149,2026-08-26T15:01:05Z
2015_01_GB_CHI,2015,1,GB,CHI,400791489,0.333,33.2,66.5,54.272,2026-08-26T15:01:05Z
2015_01_IND_BUF,2015,1,IND,BUF,400791541,0.42671,42.5,57.099999999999994,60.208,2026-08-26T15:01:05Z
2015_01_KC_HOU,2015,1,KC,HOU,400791493,0.54518,54.300000000000004,45.300000000000004,75.789,2026-08-26T15:01:05Z
2015_01_MIA_WAS,2015,1,MIA,WAS,400791544,0.41625,41.5,58.199999999999996,31.029,2026-08-26T15:01:05Z
2015_01_MIN_SF,2015,1,MIN,SF,400791600,0.55924,55.7,43.9,46.271,2026-08-26T15:01:05Z
2015_01_NO_ARI,2015,1,NO,ARI,400791555,0.55868,55.7,44.0,52.493,2026-08-26T15:01:05Z
2015_01_NYG_DAL,2015,1,NYG,DAL,400791590,0.68004,67.80000000000001,31.900000000000002,41.328,2026-08-26T15:01:05Z
2015_01_PHI_ATL,2015,1,PHI,ATL,400791596,0.49197,49.0,50.6,36.306,2026-08-26T15:01:05Z
2015_01_PIT_NE,2015,1,PIT,NE,400791485,0.67335,67.2,32.6,91.564,2026-08-26T15:01:05Z
2015_01_SEA_STL,2015,1,SEA,STL,400791550,0.39519,39.4,60.3,76.187,2026-08-26T15:01:05Z
2015_01_TEN_TB,2015,1,TEN,TB,400791582,0.58133,57.9,41.699999999999996,23.778,2026-08-26T15:01:05Z
2015_02_ARI_CHI,2015,2,ARI,CHI,400791661,0.43831,43.7,56.00000000000001,71.087,2026-08-26T15:01:05Z
2015_02_ATL_NYG,2015,2,ATL,NYG,400791672,0.5743,57.199999999999996,42.4,35.273,2026-08-26T15:01:05Z
2015_02_BAL_OAK,2015,2,BAL,OAK,400791702,0.30361,30.3,69.5,38.863,2026-08-26T15:01:05Z
2015_02_DAL_PHI,2015,2,DAL,PHI,400791705,0.61585,61.4,38.3,41.462,2026-08-26T15:01:05Z
2015_02_DEN_KC,2015,2,DEN,KC,400791624,0.53414,53.2,46.400000000000006,87.061,2026-08-26T15:01:05Z
2015_02_DET_MIN,2015,2,DET,MIN,400791638,0.49398,49.2,50.4,52.208,2026-08-26T15:01:05Z
2015_02_HOU_CAR,2015,2,HOU,CAR,400791628,0.59278,59.099999999999994,40.6,57.115,2026-08-26T15:01:05Z
2015_02_MIA_JAX,2015,2,MIA,JAX,400791680,0.35607,35.5,64.2,22.882,2026-08-26T15:01:05Z
2015_02_NE_BUF,2015,2,NE,BUF,400791664,0.4323,43.1,56.599999999999994,83.169,2026-08-26T15:01:05Z
2015_02_NYJ_IND,2015,2,NYJ,IND,400791711,0.71142,71.0,28.799999999999997,68.312,2026-08-26T15:01:05Z
2015_02_SD_CIN,2015,2,SD,CIN,400791666,0.67904,67.7,32.0,53.939,2026-08-26T15:01:05Z
2015_02_SEA_GB,2015,2,SEA,GB,400791708,0.62788,62.6,37.1,91.662,2026-08-26T15:01:05Z
2015_02_SF_PIT,2015,2,SF,PIT,400791630,0.7001,69.8,29.9,51.095,2026-08-26T15:01:05Z
